Description,Price,Rating,ReviewCount,Url
Shopping List Notebook,₹502,N/A,0,http://www.flipkart.com/shopping-list-notebook/p/itmd36e43c37c491?pid=9781716063152&lid=LSTBOK9781716063152NVTPNY&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781716063152.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
"Family Weekly Meal Planner - Breakfast, Lunch, and Dinn...",₹427,N/A,0,http://www.flipkart.com/family-weekly-meal-planner-breakfast-lunch-dinner-planning-pages-grocery-shopping-list/p/itmc1f4f67d918c0?pid=9785588264082&lid=LSTBOK9785588264082N3UREB&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9785588264082.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Shopping List Book.,₹593,N/A,0,http://www.flipkart.com/shopping-list-book/p/itmecd85e54662af?pid=9781723735806&lid=LSTBOK978172373580636LPA1&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781723735806.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
List of Shopping Malls in the United States,"₹2,414",N/A,0,http://www.flipkart.com/list-shopping-malls-united-states/p/itmddkvzjvcfdzfa?pid=9785513271567&lid=LSTBOK9785513271567GUSLPR&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9785513271567.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
List of Shopping Malls in Dubai,"₹3,540",N/A,0,http://www.flipkart.com/list-shopping-malls-dubai/p/itmdvhxzdy6bjhg9?pid=9786132916877&lid=LSTBOK9786132916877ZLZAZN&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9786132916877.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
List of Shopping Malls in India,"₹2,406",N/A,0,http://www.flipkart.com/list-shopping-malls-india/p/itmdez6dfwryyqjw?pid=9785513278672&lid=LSTBOK9785513278672QGVCPA&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9785513278672.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
List of the Woodwright's Shop Episodes,"₹2,423",N/A,0,http://www.flipkart.com/list-woodwright-s-shop-episodes/p/itmddkwckt2p77yz?pid=9785513302384&lid=LSTBOK9785513302384JH9FDK&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_39&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9785513302384.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Description,Price,Rating,ReviewCount,Url
Potato 1 kg,₹30,4.3,"(7,255)",http://www.flipkart.com/potato-1-kg/p/itmf0e9db9a66809?pid=VEGF7FJ552GQ3ZGT&lid=LSTVEGF7FJ552GQ3ZGT3LIFZ4&marketplace=GROCERY&q=Vepetabies%3A&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=73f1d53c-3230-465f-a024-4d9282e7e622.VEGF7FJ552GQ3ZGT.SEARCH&ppt=None&ppn=None&ssid=rccf20wn9c0000001654450651332&qH=296b09c53a89491c
Potato Jyoti 1 kg,₹33,4.5,(35),http://www.flipkart.com/potato-jyoti-1-kg/p/itm5a76d410ac9a4?pid=VEGGCDRKFPBBT6DZ&lid=LSTVEGGCDRKFPBBT6DZIB8OJG&marketplace=GROCERY&q=Vepetabies%3A&store=search.flipkart.com&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=73f1d53c-3230-465f-a024-4d9282e7e622.VEGGCDRKFPBBT6DZ.SEARCH&ppt=None&ppn=None&ssid=rccf20wn9c0000001654450651332&qH=296b09c53a89491c
Coconut 1 Units,₹26,4,"(1,524)",http://www.flipkart.com/coconut-1-units/p/itm07dca8854a617?pid=VEGF778ZNEKJWYZM&lid=LSTVEGF778ZNEKJWYZMIS9J0L&marketplace=GROCERY&q=Vepetabies%3A&store=search.flipkart.com&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=73f1d53c-3230-465f-a024-4d9282e7e622.VEGF778ZNEKJWYZM.SEARCH&ppt=None&ppn=None&ssid=rccf20wn9c0000001654450651332&qH=296b09c53a89491c
Sol Whole Hearts of Palm Vegetables,₹305,N/A,0,http://www.flipkart.com/sol-whole-hearts-palm-vegetables/p/itm0c0475938f3ae?pid=NNDFXBGHCZBSHNUN&lid=LSTNNDFXBGHCZBSHNUNN7LLIQ&marketplace=FLIPKART&q=Vepetabies%3A&store=search.flipkart.com&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=en_K9cUvumzGynUq9xBM6wAnF6rRIt60Dau%2F0EMp8Td9odj4GtynjYrNLIpk5VwWY2ub78aTMb8W3X826xExb04ww%3D%3D&ppt=None&ppn=None&ssid=rccf20wn9c0000001654450651332&qH=296b09c53a89491c
Tomato Hybrid 500 g,₹42,4.3,"(3,368)",http://www.flipkart.com/tomato-hybrid-500-g/p/itm69fec2a1d0629?pid=VEGG86G6UHBZBBY4&lid=LSTVEGG86G6UHBZBBY4YFUXA7&marketplace=GROCERY&q=Vepetabies%3A&store=search.flipkart.com&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=73f1d53c-3230-465f-a024-4d9282e7e622.VEGG86G6UHBZBBY4.SEARCH&ppt=None&ppn=None&ssid=rccf20wn9c0000001654450651332&qH=296b09c53a89491c
Brinjal Bottle shape 500 g,₹22,4.2,"(1,376)",http://www.flipkart.com/brinjal-bottle-shape-500-g/p/itm19e30e852a1ae?pid=VEGFFHGDY9XZZTGZ&lid=LSTVEGFFHGDY9XZZTGZYVXC6E&marketplace=GROCERY&q=Vepetabies%3A&store=search.flipkart.com&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=73f1d53c-3230-465f-a024-4d9282e7e622.VEGFFHGDY9XZZTGZ.SEARCH&ppt=None&ppn=None&ssid=rccf20wn9c0000001654450651332&qH=296b09c53a89491c
Onion 1 kg,₹17,4.3,"(13,227)",http://www.flipkart.com/onion-1-kg/p/itmb66ab07409a03?pid=VEGF7FJ5UVTDPSRH&lid=LSTVEGF7FJ5UVTDPSRHUU4VWA&marketplace=GROCERY&q=Vepetabies%3A&store=search.flipkart.com&spotlightTagId=BestsellerId_search.flipkart.com&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=73f1d53c-3230-465f-a024-4d9282e7e622.VEGF7FJ5UVTDPSRH.SEARCH&ppt=None&ppn=None&ssid=rccf20wn9c0000001654450651332&qH=296b09c53a89491c
Abbie's Sweet Corn Kernels Combo Pack Of (5*400gm) Corn,₹425,N/A,0,http://www.flipkart.com/abbie-s-sweet-corn-kernels-combo-pack-5-400gm/p/itmce678a583458a?pid=NNDGYSTK8YEJRZCG&lid=LSTNNDGYSTK8YEJRZCGUX5BUC&marketplace=FLIPKART&q=Vepetabies%3A&store=search.flipkart.com&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_K9cUvumzGynUq9xBM6wAnF6rRIt60Dau%2F0EMp8Td9odeCNL1gsXMiJhrbRMwjC4iaSMCMSke85fAurll3iL4Cg%3D%3D&ppt=None&ppn=None&ssid=rccf20wn9c0000001654450651332&qH=296b09c53a89491c
Del Monte Baked Beans,₹99,N/A,0,http://www.flipkart.com/del-monte-baked-beans/p/itm1b9c0c514b6b4?pid=NNDFVMG4NDGRVKCM&lid=LSTNNDFVMG4NDGRVKCMIZNDC5&marketplace=GROCERY&q=Vepetabies%3A&store=search.flipkart.com&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=73f1d53c-3230-465f-a024-4d9282e7e622.NNDFVMG4NDGRVKCM.SEARCH&ppt=None&ppn=None&ssid=rccf20wn9c0000001654450651332&qH=296b09c53a89491c
DRUK Baked Beans,₹68,N/A,0,http://www.flipkart.com/druk-baked-beans/p/itme85bbb394fc82?pid=NNDGAX5AFCBW7VPY&lid=LSTNNDGAX5AFCBW7VPYZ2H5ZB&marketplace=GROCERY&q=Vepetabies%3A&store=search.flipkart.com&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=73f1d53c-3230-465f-a024-4d9282e7e622.NNDGAX5AFCBW7VPY.SEARCH&ppt=None&ppn=None&ssid=rccf20wn9c0000001654450651332&qH=296b09c53a89491c
Cera Wares Bhindi Seed,₹355,N/A,0,http://www.flipkart.com/cera-wares-bhindi-seed/p/itm0371adca6340b?pid=PAEGBRF787HVGRPJ&lid=LSTPAEGBRF787HVGRPJ8VSIGW&marketplace=FLIPKART&q=Vepetabies%3A&store=search.flipkart.com&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=73f1d53c-3230-465f-a024-4d9282e7e622.PAEGBRF787HVGRPJ.SEARCH&ppt=None&ppn=None&ssid=rccf20wn9c0000001654450651332&qH=296b09c53a89491c
"Abbie's Red Kidney Beans, 400g (Set of 5) Beans",₹569,N/A,0,http://www.flipkart.com/abbie-s-red-kidney-beans-400g-set-5-beans/p/itm6ad0db38ae164?pid=NNDFWHP5PUWHMUTR&lid=LSTNNDFWHP5PUWHMUTRUMAYJK&marketplace=FLIPKART&q=Vepetabies%3A&store=search.flipkart.com&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_K9cUvumzGynUq9xBM6wAnF6rRIt60Dau%2F0EMp8Td9ocaljkleOyitlrIFEa9nrz%2Buahw%2FqvhZyl2OslmEXEJ4Q%3D%3D&ppt=None&ppn=None&ssid=rccf20wn9c0000001654450651332&qH=296b09c53a89491c
Capsicum Green 500 g,₹35,4.3,"(2,724)",http://www.flipkart.com/capsicum-green-500-g/p/itm3a5fd75621d0c?pid=VEGFBE9KFXFUQXZB&lid=LSTVEGFBE9KFXFUQXZBRBJIUU&marketplace=GROCERY&q=Vepetabies%3A&store=search.flipkart.com&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=73f1d53c-3230-465f-a024-4d9282e7e622.VEGFBE9KFXFUQXZB.SEARCH&ppt=None&ppn=None&ssid=rccf20wn9c0000001654450651332&qH=296b09c53a89491c
Brinjal long purple 500 g,₹20,4.3,(133),http://www.flipkart.com/brinjal-long-purple-500-g/p/itm162a5923c16f6?pid=VEGFFHGDWSMDZGBG&lid=LSTVEGFFHGDWSMDZGBGHKHLXJ&marketplace=GROCERY&q=Vepetabies%3A&store=search.flipkart.com&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=73f1d53c-3230-465f-a024-4d9282e7e622.VEGFFHGDWSMDZGBG.SEARCH&ppt=None&ppn=None&ssid=rccf20wn9c0000001654450651332&qH=296b09c53a89491c
Garlic 100 g,₹10,4.1,"(3,015)",http://www.flipkart.com/garlic-100-g/p/itm4a259ec600e08?pid=VEGF7FJ5EHHZ9UE3&lid=LSTVEGF7FJ5EHHZ9UE3LCCUZK&marketplace=GROCERY&q=Vepetabies%3A&store=search.flipkart.com&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=73f1d53c-3230-465f-a024-4d9282e7e622.VEGF7FJ5EHHZ9UE3.SEARCH&ppt=None&ppn=None&ssid=rccf20wn9c0000001654450651332&qH=296b09c53a89491c
